keyword,total_occurrences,primary_occurrences,variant_count,variants_with_scores,sources,notes
tax,32001,31994,3,"taxw(0.67), taxs(0.67), utax(0.67)","curated, clustered",
qty,29933,29897,4,"tqty(0.69), qty2(0.67), qty1(0.67), qtys(0.67)","curated, clustered",
curr,28878,28652,10,"currr(0.81), curr2(0.70), curr1(0.70), curr3(0.70), tcurr(0.70), recurr(0.61), currec(0.61), occurr(0.61), currev(0.60), currnt(0.60)","curated, clustered",
currency,16883,16748,8,"bcurrency(0.77), currency2(0.77), curency(0.70), curreny(0.68), currecy(0.66), currncy(0.66), crrency(0.66), currrency(0.60)","curated, clustered",
total,15976,15660,13,"totalt(0.75), totals(0.73), ftotal(0.73), total1(0.73), total2(0.73), total3(0.73), total0(0.73), total11(0.65), total22(0.65), total33(0.65)","curated, clustered",
inv,13869,13554,10,"einv(0.67), invs(0.67), invo(0.67), invt(0.67), invp(0.67), inv1(0.67), invl(0.67), invc(0.67), inv2(0.67), inv3(0.67)","curated, clustered",
eso,13448,110,9,"resource, resourc(0.89), resources(0.78), resourcerec(0.68), resourceseq(0.67), resorce(0.66), sor(0.61), rso(0.61), sourc(0.59)","curated, clustered",
address,12065,10294,15,"addresss(0.82), address3(0.76), address4(0.76), address5(0.76), address6(0.76), address7(0.76), address8(0.76), address9(0.76), addresses(0.73), adress(0.70)","curated, clustered",
period,11621,10938,27,"iperiod(0.76), periods(0.75), nperiod(0.75), period1(0.75), period2(0.75), periodic(0.68), periodsp(0.68), period11(0.68), periods1(0.67), periods2(0.67)","curated, clustered",
customer,11310,11232,8,"customers(0.78), customer3(0.77), customer6(0.77), customer1(0.77), cutomer(0.66), customerinfo(0.61), customergroup(0.58), cuustomer(0.58)","curated, clustered",
plan,11265,10954,8,"plans(0.71), unplan(0.62), planno(0.62), replan(0.61), explan(0.61), planer(0.61), pln(0.60), payplan(0.58)","curated, clustered",
work,9858,9444,10,"workr(0.73), works(0.71), xwork(0.71), rework(0.62), worker(0.62), worked(0.61), rwo(0.61), inwork(0.61), workin(0.61), wrk(0.60)","curated, clustered",
component,9085,8712,2,"components(0.78), cmponent(0.68)","curated, clustered",
job,8347,8081,4,"bjob(0.69), jobs(0.67), job1(0.67), job2(0.67)","curated, clustered",
pay,8059,7893,5,"payp(0.69), paym(0.67), epay(0.67), payc(0.67), pays(0.67)","curated, clustered",
payment,7743,7395,7,"epayment(0.77), payments(0.76), repayment(0.70), prepayment(0.67), paymet(0.65), paymentlist(0.61), overpayment(0.59)","curated, clustered",
doc,7683,7250,5,"dock(0.67), docs(0.67), docu(0.67), dso(0.61), sod(0.61)","curated, clustered",
comp,7607,7176,17,"ccomp(0.77), compo(0.73), compl(0.71), comps(0.71), compt(0.71), incomp(0.61), pom(0.61), decomp(0.61), compex(0.61), comply(0.61)","curated, clustered",
shipment,7351,7229,5,"shipments(0.78), shipmentid(0.72), shiment(0.66), shipmnt(0.66), sipment(0.66)","curated, clustered",
hours,7261,7190,6,"hours2(0.73), hours1(0.73), hours3(0.73), whours(0.73), ophours(0.66), brkhours(0.58)","curated, clustered",
planned,6662,6480,5,"unplanned(0.70), replanned(0.70), planed(0.70), plannned(0.60), plned(0.60)","curated, clustered",
req,6543,6388,6,"reqs(0.67), freq(0.67), preq(0.67), requ(0.67), reqn(0.67), reqd(0.67)","curated, clustered",
account,6540,6440,8,"accounts(0.76), account2(0.76), accountant(0.70), acount(0.70), accounted(0.69), accountval(0.64), preaccount(0.63), accountable(0.59)","curated, clustered",
person,6448,6167,6,"persons(0.76), personel(0.68), personal(0.67), personid(0.67), peron(0.64), personnel(0.63)","curated, clustered",
