word,occurrences,insightful,notes
id,226455,0,
rec,192347,0,
name,190554,1,
no,163407,0,
newrec,152894,0,
lu,149831,0,
company,102446,0,
type,73735,0,
code,63529,0,
attr,61830,0,
contract,59888,1,
part,59454,1,
date,58940,0,
order,58834,1,
info,52942,0,
value,52029,0,
api,49728,0,
amount,48854,1,
get,46782,0,
line,41480,1,
objid,37601,0,
seq,36772,0,
oldrec,33265,0,
db,33119,0,
to,32539,0,
item,32210,1,
tax,31994,1,
qty,29897,1,
curr,28652,1,
source,28254,0,
check,28246,0,
cost,27708,1,
temp,27668,0,
new,26861,0,
msg,24577,0,
number,24333,0,
sys,23371,0,
count,21744,0,
from,21638,0,
exist,21509,0,
index,20238,0,
project,20129,1,
key,19924,0,
is,19783,0,
data,18996,0,
task,18928,1,
list,18803,0,
tab,17841,0,
unit,17831,0,
nvl,17509,0,
currency,16748,1,
session,16080,0,
row,16069,0,
remrec,15984,0,
ref,15786,0,
total,15660,1,
time,15137,0,
price,14849,1,
object,14714,0,
dummy,14572,0,
site,14486,0,
message,14138,0,
in,13792,0,
activity,13649,1,
inv,13554,1,
stmt,13513,1,
invoice,13455,1,
status,13356,0,
resource,13109,1,
transaction,12917,1,
start,12766,0,
file,12354,0,
update,12290,0,
text,12149,0,
group,11966,0,
user,11933,0,
insert,11883,0,
client,11826,0,
select,11803,0,
error,11523,0,
customer,11232,1,
trans,11153,1,
capture,11120,0,
plan,10954,1,
period,10938,1,
base,10925,0,
sub,10437,0,
address,10294,1,
valid,10215,0,
level,10097,0,
objversion,10018,0,
node,10018,0,
event,9939,0,
state,9855,0,
rate,9654,1,
parent,9584,0,
not,9473,0,
work,9444,1,
set,9247,0,
voucher,8992,1,
old,8940,0,
create,8924,0,
serial,8783,1,
boolean,8722,0,
component,8712,1,
wo,8641,1,
tmp,8571,0,
column,8568,0,
log,8505,0,
job,8081,1,
result,8025,0,
dom,7985,0,
pay,7893,1,
string,7726,0,
of,7726,0,
template,7722,0,
str,7633,0,
validate,7621,0,
detail,7610,1,
method,7465,0,
sum,7420,0,
payment,7395,1,
year,7357,0,
max,7322,0,
process,7292,0,
factor,7274,0,
by,7268,0,
doc,7250,1,
shipment,7229,1,
found,7200,0,
hours,7190,1,
comp,7176,1,
calendar,7152,1,
xml,7138,0,
control,7022,0,
handling,6968,0,
header,6923,0,
end,6897,0,
arr,6828,0,
action,6720,0,
accounting,6598,1,
demand,6584,1,
supply,6538,1,
class,6517,0,
planned,6480,1,
next,6456,0,
account,6440,1,
config,6430,0,
add,6404,0,
parallel,6399,0,
req,6388,1,
default,6378,0,
load,6349,0,
location,6347,0,
rev,6311,1,
person,6167,1,
dop,6156,1,
sales,6129,1,
ref1,6126,0,
receipt,6126,1,
description,6082,0,
view,6059,0,
day,5999,0,
emp,5972,0,
prev,5949,0,
remove,5909,0,
party,5843,1,
param,5841,0,
table,5823,0,
op,5792,0,
posting,5786,1,
for,5778,0,
copy,5770,0,
credit,5768,1,
current,5716,0,
con,5712,0,
last,5700,0,
po,5686,1,
acc,5658,1,
net,5588,0,
ord,5587,1,
cust,5521,1,
char,5482,0,
delivery,5470,1,
head,5421,0,
record,5397,0,
ptr,5381,0,
due,5355,1,
identity,5334,1,
change,5321,0,
desc,5313,0,
report,5303,0,
exists,5294,0,
modify,5235,0,
fnd,5230,0,
function,5197,0,
flag,5188,0,
sequence,5167,0,
delete,5167,0,
maint,5154,1,
child,5130,0,
counter,5124,0,
obj,5063,0,
structure,5058,1,
calc,5036,0,
note,5007,0,
balance,4891,1,
org,4883,0,
pm,4879,1,
val,4848,0,
service,4808,1,
supplier,4807,1,
quantity,4800,1,
sq,4797,0,
out,4763,0,
used,4752,0,
country,4743,0,
local,4733,0,
return,4732,0,
values,4719,0,
app,4711,0,
estimate,4678,1,
ifm,4554,0,
pos,4549,0,
rule,4528,0,
amt,4509,1,
proj,4490,1,
inventory,4446,1,
reference,4435,0,
parameter,4420,0,
idx,4398,0,
revision,4393,1,
operation,4388,0,
ext,4357,0,
on,4344,0,
abs,4265,0,
ledger,4254,1,
so,4237,1,
addr,4206,1,
forecast,4172,1,
element,4157,0,
interim,4105,0,
top,4026,0,
diff,4015,0,
lines,4000,0,
indrec,3999,0,
substr,3986,0,
chg,3981,1,
use,3966,0,
category,3938,0,
package,3882,0,
context,3862,0,
all,3856,0,
mod,3827,0,
discount,3827,1,
clob,3805,0,
bucket,3799,0,
access,3799,0,
third,3770,0,
lot,3764,1,
batch,3750,1,
cnt,3747,0,
charge,3691,1,
alt,3674,0,
fact,3646,0,
master,3639,0,
sched,3633,1,
length,3628,0,
quotation,3625,1,
ship,3588,1,
rows,3580,0,
ret,3571,0,
sysdate,3559,0,
purch,3505,1,
entity,3500,0,
pre,3483,0,
purchase,3464,1,
condition,3429,0,
std,3426,0,
series,3411,0,
created,3366,0,
vendor,3364,1,
res,3363,1,
material,3344,1,
days,3338,0,
schedule,3322,1,
allowed,3309,1,
min,3290,0,
debit,3287,1,
rental,3284,1,
required,3271,1,
export,3263,1,
actual,3251,1,
per,3249,0,
err,3247,0,
catalog,3240,1,
rounding,3232,0,
lov,3211,0,
print,3187,0,
pick,3179,1,
attribute,3171,0,
version,3168,0,
request,3157,0,
analysis,3120,1,
procedure,3084,0,
target,3081,0,
cursor,3072,0,
oper,3045,0,
first,3032,0,
conv,3031,0,
cash,3013,1,
crecomp,3005,0,
null,2994,0,
vat,2982,1,
post,2969,1,
def,2961,0,
connected,2961,0,
col,2948,0,
requisition,2945,1,
model,2944,1,
changed,2920,0,
cur,2913,0,
gross,2909,1,
codestring,2875,0,
shop,2871,1,
match,2864,0,
rma,2849,0,
num,2847,0,
common,2839,0,
incl,2834,0,
instr,2832,0,
supp,2821,0,
configuration,2803,0,
unique,2802,0,
limit,2775,0,
non,2771,0,
field,2767,0,
prepare,2764,0,
module,2739,0,
where,2691,0,
modified,2688,0,
document,2679,1,
format,2676,0,
run,2666,0,
tot,2656,1,
agreement,2638,1,
json,2625,0,
has,2624,0,
rowkey,2610,0,
labor,2609,1,
sql,2597,0,
and,2585,0,
license,2561,1,
bom,2552,1,
int,2545,0,
rowversion,2538,0,
off,2535,0,
property,2533,0,
receiver,2513,0,
budget,2499,1,
business,2492,1,
finish,2483,1,
connection,2473,1,
disc,2459,0,
language,2440,0,
setup,2438,0,
dimension,2429,1,
percentage,2424,1,
transfer,2418,1,
co,2395,0,
struct,2389,0,
auth,2387,0,
release,2365,1,
active,2344,0,
inquiry,2332,0,
dim,2323,0,
details,2315,0,
role,2293,0,
act,2291,1,
cache,2289,0,
capacity,2288,1,
keys,2270,0,
wage,2270,1,
available,2260,1,
pur,2254,1,
eng,2243,1,
del,2237,1,
duration,2231,1,
previous,2208,0,
dataset,2194,0,
sender,2172,1,
ownership,2171,1,
sign,2155,0,
trunc,2148,0,
automatic,2145,0,
remaining,2142,1,
size,2137,0,
additional,2129,0,
position,2128,0,
planning,2128,1,
internal,2123,0,
include,2115,0,
items,2111,1,
execution,2104,0,
stream,2104,0,
this,2103,0,
fa,2102,1,
step,2095,0,
criteria,2083,0,
sup,2077,1,
manuf,2075,1,
scope,2068,0,
shift,2048,1,
proposal,2032,1,
projection,2026,0,
par,2016,0,
leadtime,1994,1,
absence,1989,1,
array,1982,0,
mrp,1981,1,
routing,1960,1,
decode,1954,0,
open,1950,0,
input,1935,0,
alloc,1924,1,
employee,1908,1,
warning,1907,0,
prop,1903,0,
generate,1897,0,
do,1892,0,
rep,1890,0,
revenue,1886,1,
fixed,1882,0,
stock,1878,1,
ctrl,1870,0,
latest,1870,0,
option,1856,0,
case,1852,0,
reserved,1852,1,
cert,1840,1,
elmt,1839,0,
label,1836,0,
integer,1834,0,
stamp,1834,1,
oh,1831,0,
destination,1828,0,
params,1823,0,
plt,1813,0,
selection,1813,0,
main,1811,0,
with,1807,0,
replace,1805,0,
updated,1804,0,
hist,1802,0,
route,1793,1,
product,1793,1,
offset,1792,0,
bug,1788,0,
reg,1787,0,
util,1775,0,
equipment,1771,1,
vou,1769,1,
tag,1760,1,
loc,1758,1,
stat,1746,0,
conf,1737,0,
blanket,1737,0,
meas,1731,1,
rel,1726,0,
cancel,1726,0,
uom,1725,1,
progress,1722,0,
conn,1717,1,
pkg,1717,0,
valuation,1707,0,
expense,1705,1,
ref2,1701,0,
debet,1695,1,
weight,1690,0,
rowstate,1678,0,
div,1666,0,
external,1660,0,
output,1651,0,
response,1647,0,
parts,1645,1,
sqlerrm,1642,0,
exp,1635,0,
sla,1634,0,
objstate,1622,0,
avail,1615,1,
matching,1603,0,
approval,1602,0,
origin,1598,0,
clocking,1588,0,
gen,1586,0,
full,1581,0,
names,1577,0,
until,1574,0,
import,1569,0,
afp,1567,0,
profile,1563,0,
enabled,1560,0,
upper,1558,0,
alternative,1553,1,
templ,1548,0,
catch,1547,0,
eval,1544,0,
complete,1543,1,
content,1536,0,
interval,1534,0,
micro,1534,0,
intface,1527,0,
owner,1524,0,
call,1516,0,
issue,1507,0,
scz,1500,0,
transport,1496,1,
send,1491,0,
server,1487,0,
src,1480,0,
fault,1479,0,
ref3,1478,0,
lead,1474,0,
bal,1469,0,
query,1466,0,
contact,1465,1,
ctr,1460,0,
connect,1455,0,
reason,1455,0,
retval,1453,0,
email,1452,1,
center,1451,0,
ref4,1442,0,
or,1440,0,
manual,1424,0,
deduction,1419,0,
scrap,1418,1,
ok,1416,0,
srv,1407,1,
write,1402,0,
instance,1400,0,
receive,1395,1,
round,1393,0,
history,1389,0,
filter,1389,0,
invoiced,1388,1,
warehouse,1386,1,
asset,1385,1,
liability,1379,1,
exclude,1375,0,
pres,1374,0,
parameters,1359,0,
pers,1357,1,
split,1353,0,
public,1349,0,
mch,1345,0,
point,1343,0,
orig,1342,0,
ms,1342,0,
via,1333,0,
dist,1331,0,
det,1331,0,
allocation,1327,1,
usage,1325,0,
multi,1324,0,
blocked,1318,0,
calculate,1315,0,
tool,1312,0,
assigned,1308,0,
codeno,1302,0,
onhand,1302,1,
raise,1298,0,
jt,1292,1,
competency,1289,1,
cro,1288,0,
hu,1288,0,
entry,1285,0,
journal,1283,1,
dev,1280,0,
TRUE,1279,0,
attrib,1274,0,
buy,1265,1,
family,1264,1,
percent,1261,1,
committed,1256,0,
auto,1251,0,
move,1250,1,
dt,1250,0,
grp,1246,0,
bank,1245,1,
fee,1241,1,
approved,1236,1,
rest,1236,1,
spec,1233,0,
custom,1232,0,
validation,1230,0,
only,1213,0,
original,1202,0,
prog,1194,0,
reserve,1193,0,
prefix,1193,0,
path,1189,0,
objkey,1181,0,
inverted,1180,0,
flight,1177,1,
build,1168,0,
released,1166,0,
cmd,1165,0,
fetch,1163,0,
accum,1149,1,
cre,1145,0,
aurena,1142,0,
url,1138,1,
alternate,1136,0,
zone,1136,1,
pls,1133,0,
direction,1130,0,
break,1122,0,
dbms,1120,0,
adv,1120,0,
rem,1119,0,
phase,1118,1,
media,1116,0,
prel,1116,0,
bin,1113,0,
linerec,1109,0,
close,1108,0,
records,1106,0,
loop,1105,0,
mode,1104,0,
mx,1100,0,
received,1098,1,
orders,1093,1,
expression,1093,0,
meta,1090,0,
codepart,1090,1,
opportunity,1089,1,
if,1088,0,
normal,1085,0,
at,1085,0,
refresh,1084,0,
test,1084,0,
begin,1082,0,
skip,1074,0,
snapshot,1073,0,
allow,1067,0,
FALSE,1065,0,
repair,1062,0,
paid,1060,1,
primary,1059,1,
interest,1057,1,
term,1056,1,
salary,1054,1,
ids,1052,0,
city,1047,1,
types,1039,0,
ded,1035,0,
second,1032,0,
arrival,1025,1,
one,1024,0,
handle,1021,0,
cond,1019,0,
